調整5/3開,#genre#
港澳,#genre#
香港開電視,http://media.fantv.hk/m3u8/archive/channel2.m3u8
澳視衛視,http://live4.tdm.com.mo:80/ch3/_definst_/ch3.live/playlist.m3u8
澳視葡文,http://live4.tdm.com.mo:80/ch2/_definst_/ch2.live/playlist.m3u8
鳳凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
鳳凰資訊,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
澳視澳門,http://61.244.22.4/ch1/ch1.live/index.m3u8
澳視葡文,http://61.244.22.4/ch2/ch2.live/index.m3u8
澳門macau,http://61.244.22.4/ch3/ch3.live/index.m3u8
澳視澳門,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳視葡文,http://61.244.22.5/ch2/ch2.live/chunklist.m3u8
澳門Macau,http://61.244.22.5/ch3/ch3.live/chunklist.m3u8
澳門蓮花衛視,http://nettvpro.live/hls/lotustv.php
ChannelNewsAsia,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
鳳凰資訊,https://pull-l3-cny.douyincdn.com/live/stream-19882782023040423501.m3u8
澳門蓮花,http://pull-l3-cny.douyincdn.com/third/stream-f3caad21816e3bfe2210a692387ab040.m3u8
翡翠台,http://162.19.247.76:22222/live/tvbfc/index.m3u8
J2,http://162.19.247.76:22222/live/tvbj2/index.m3u8
蓮花衛視,http://107.151.203.111:2209/135/hk.php?id=amlh
澳亞衛視,http://107.151.203.111:2209/135/hk.php?id=aoya
優視頻道,http://107.151.203.111:2209/135/hk.php?id=uchanneltv
鳳凰中文HD,http://107.151.203.111:2209/135/hk.php?id=fhzw
鳳凰資訊HD,http://107.151.203.111:2209/135/hk.php?id=fhzx
香港衛視文旅,http://107.151.203.111:2209/135/hk.php?id=hk6
耀才財經,http://107.151.203.111:2209/135/hk.php?id=bs
有線新聞台,http://107.151.203.111:2209/135/hk.php?id=cable37h
有線財經資訊台,http://107.151.203.111:2209/135/hk.php?id=cable38h
香港國際財經台,http://107.151.203.111:2209/135/hk.php?id=cable76h
香港開電視,http://107.151.203.111:2209/135/hk.php?id=cable77h

新聞,#genre#
三立新聞,http://211.72.65.236:8543/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞,http://125.227.210.55:35238/VideoInput/play.ts
三立新聞,http://211.23.114.106:8507/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立LIVE,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
三立LIVE,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
三立iNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
民視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
民視新聞,http://211.23.114.106:8516/http/60.251.39.91:8081/hls/73/815/ch51.m3u8
民視新聞,http://tv.redrainl.site:9500/live.m3u8?c=01
非凡新聞,http://125.227.210.55:28993/VideoInput/play.ts
中天新聞,http://211.23.114.106:8501/http/60.251.39.91:8081/hls/78/80/ch63max.m3u8
中天新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中天新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV49.m3u8
TVBS新聞,http://220.135.124.158:8088/live/55_h265.ts
TVBS NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
TVBS HD,http://220.135.124.158:8088/live/56_h265.ts
東森新聞,http://211.23.114.106:8510/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
東森新聞,https://epg.pw/stream/d6cad1cb0bdc2192885f5fb7689d8234c282c7f07401c1093a000ab83142bd95.m3u8
東森財經,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
東森財經,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
三立iNEW+,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
三立iNEWS,http://tv.redrainl.site:9500/live.m3u8?c=51
台視新聞,https://ytm2.yuanhsing.cf/ttvnewsview.m3u8
台視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
中視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
中視新聞,https://ytm2.yuanhsing.cf/twctvnews.m3u8
壹新聞,http://220.135.124.158:8088/live/23_h265.ts
壹新聞,http://211.72.65.236:8548/http/116.50.42.19:8081/hls/66/808/ch24.m3u8
年代新聞,http://211.23.114.106:8501/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新聞,http://211.72.65.236:8539/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新聞,http://220.135.124.158:8088/live/50_h265.ts
FOX新聞,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
鏡新聞Mnews,https://ytm2.yuanhsing.cf/mnews.m3u8
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
寰宇國際新聞,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
NHK BSP,http://125.227.210.55:60116/VideoInput/play.ts

戲劇知識綜合,#genre#
台視,http://162.19.247.76:22222/live/taishi/index.m3u8
中視,http://162.19.247.76:22222/live/zhongshi/index.m3u8
中視,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV34.m3u8
中視,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV42.m3u8
中視,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV71.m3u8
中視,http://61.221.81.93:8078/hls/39/80/gtvdrama.m3u8
華視,http://162.19.247.76:22222/live/huashi/index.m3u8
公視,http://211.23.114.106:8505/http/61.221.81.94:8088/hls/73/815/ch50.m3u8
原民台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV35.m3u8
民視http://220.134.196.147:9574/http/116.50.42.19:8081/hls/68/810/ch29.m3u8
幸福空間,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV41.m3u8
台灣戲劇,https://ytm2.yuanhsing.cf/FTVDRAMA.m3u8
國家地理,http://211.23.114.106:8509/http/61.221.81.94:8088/hls/61/803/ch01.m3u8
國家地理,http://220.135.124.158:8088/live/18_h265.ts
Discovery,http://211.23.114.106:8510/http/61.221.81.94:8088/hls/71/813/ch44.m3u8
Discovery,http://220.135.124.158:8088/live/19_h265.ts
TCL,http://220.135.124.158:8088/live/21_h265.ts
動物星球,http://211.23.114.106:8512/http/61.221.81.94:8088/hls/70/812/ch37.m3u8
動物星球,http://211.23.114.106:8512/http/116.50.42.19:8081/hls/64/806/ch16.m3u8
三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_1/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_1/chunklist.m3u8*~hmac=91a79f89ab6475a9ebdb69c9ff188cae5c1ae81d1afde64daecd53e989c9bfc3
